ibge,uf,municipio,nivel_verificacao,ultima_verificacao,plano_localizado,decreto_reconhecido,decreto_homologado
2906204,BA,Canarana,nacional,2026-09-03,,,
2906303,BA,Canavieiras,nacional,2026-09-03,,,
2906402,BA,Candeal,nacional,2026-09-03,,,
2906501,BA,Candeias,nacional,2026-09-03,,,
2906600,BA,Candiba,nacional,2026-09-03,,,
2906808,BA,Cansanção,nacional,2026-09-03,,,
2906824,BA,Canudos,nacional,2026-09-03,,,
2906105,BA,Canápolis,nacional,2026-09-03,,,
2906857,BA,Capela do Alto Alegre,nacional,2026-09-03,,,
2906873,BA,Capim Grosso,nacional,2026-09-03,,,
2906907,BA,Caravelas,nacional,2026-09-03,,,
2906899,BA,Caraíbas,nacional,2026-09-03,,,
2907004,BA,Cardeal da Silva,nacional,2026-09-03,,,
2907103,BA,Carinhanha,nacional,2026-09-03,,,
2907202,BA,Casa Nova,nacional,2026-09-03,,,
2907301,BA,Castro Alves,nacional,2026-09-03,,,
2907400,BA,Catolândia,nacional,2026-09-03,,,
2907509,BA,Catu,nacional,2026-09-03,,,
2907558,BA,Caturama,nacional,2026-09-03,,,
2905107,BA,Caém,nacional,2026-09-03,,,
2907608,BA,Central,nacional,2026-09-03,,,
2907707,BA,Chorrochó,nacional,2026-09-03,,,
2907905,BA,Cipó,nacional,2026-09-03,,,
2908002,BA,Coaraci,nacional,2026-09-03,,,
2908101,BA,Cocos,nacional,2026-09-03,,,
2908200,BA,Conceição da Feira,nacional,2026-09-03,,,
2908309,BA,Conceição do Almeida,nacional,2026-09-03,,,
2908408,BA,Conceição do Coité,nacional,2026-09-03,,,
2908507,BA,Conceição do Jacuípe,nacional,2026-09-03,,,
2908606,BA,Conde,nacional,2026-09-03,,,
2908705,BA,Condeúba,nacional,2026-09-03,,,
2908804,BA,Contendas do Sincorá,nacional,2026-09-03,,,
2908903,BA,Coração de Maria,nacional,2026-09-03,,,
2909000,BA,Cordeiros,nacional,2026-09-03,,,
2909109,BA,Coribe,nacional,2026-09-03,,,
2909208,BA,Coronel João Sá,nacional,2026-09-03,,,
2909307,BA,Correntina,nacional,2026-09-03,,,
2909406,BA,Cotegipe,nacional,2026-09-03,,,
2909505,BA,Cravolândia,nacional,2026-09-03,,,
2909703,BA,Cristópolis,nacional,2026-09-03,,,
2909604,BA,Crisópolis,nacional,2026-09-03,,,
2909802,BA,Cruz das Almas,nacional,2026-09-03,,,
2909901,BA,Curaçá,nacional,2026-09-03,,,
2906709,BA,Cândido Sales,nacional,2026-09-03,,,
2907806,BA,Cícero Dantas,nacional,2026-09-03,,,
2910057,BA,Dias d'Ávila,nacional,2026-09-03,,,
2910107,BA,Dom Basílio,nacional,2026-09-03,,,
2910206,BA,Dom Macedo Costa,nacional,2026-09-03,,,
2910008,BA,Dário Meira,nacional,2026-09-03,,,
2910305,BA,Elísio Medrado,nacional,2026-09-03,,,
2910404,BA,Encruzilhada,nacional,2026-09-03,,,
2910503,BA,Entre Rios,nacional,2026-09-03,,,
2910602,BA,Esplanada,nacional,2026-09-03,,,
2910701,BA,Euclides da Cunha,nacional,2026-09-03,,,
2910727,BA,Eunápolis,nacional,2026-09-03,,,
2910776,BA,Feira da Mata,nacional,2026-09-03,,,
2910800,BA,Feira de Santana,nacional,2026-09-03,,,
2910859,BA,Filadélfia,nacional,2026-09-03,,,
2910909,BA,Firmino Alves,nacional,2026-09-03,,,
2911006,BA,Floresta Azul,nacional,2026-09-03,,,
2911105,BA,Formosa do Rio Preto,nacional,2026-09-03,,,
2910750,BA,Fátima,nacional,2026-09-03,,,
2911204,BA,Gandu,nacional,2026-09-03,,,
2911253,BA,Gavião,nacional,2026-09-03,,,
2911303,BA,Gentio do Ouro,nacional,2026-09-03,,,
2911402,BA,Glória,nacional,2026-09-03,,,
2911501,BA,Gongogi,nacional,2026-09-03,,,
2911600,BA,Governador Mangabeira,nacional,2026-09-03,,,
2911659,BA,Guajeru,nacional,2026-09-03,,,
2911709,BA,Guanambi,nacional,2026-09-03,,,
2911808,BA,Guaratinga,nacional,2026-09-03,,,
2911857,BA,Heliópolis,nacional,2026-09-03,,,
2911907,BA,Iaçu,nacional,2026-09-03,,,
2912004,BA,Ibiassucê,nacional,2026-09-03,,,
2912103,BA,Ibicaraí,nacional,2026-09-03,,,
2912202,BA,Ibicoara,nacional,2026-09-03,,,
2912301,BA,Ibicuí,nacional,2026-09-03,,,
2912400,BA,Ibipeba,nacional,2026-09-03,,,
2912509,BA,Ibipitanga,nacional,2026-09-03,,,
2912608,BA,Ibiquera,nacional,2026-09-03,,,
2912707,BA,Ibirapitanga,nacional,2026-09-03,,,
2912806,BA,Ibirapuã,nacional,2026-09-03,,,
2912905,BA,Ibirataia,nacional,2026-09-03,,,
2913002,BA,Ibitiara,nacional,2026-09-03,,,
2913101,BA,Ibititá,nacional,2026-09-03,,,
2913200,BA,Ibotirama,nacional,2026-09-03,,,
2913309,BA,Ichu,nacional,2026-09-03,,,
2913408,BA,Igaporã,nacional,2026-09-03,,,
2913457,BA,Igrapiúna,nacional,2026-09-03,,,
2913507,BA,Iguaí,nacional,2026-09-03,,,
2913606,BA,Ilhéus,nacional,2026-09-03,,,
2913705,BA,Inhambupe,nacional,2026-09-03,,,
2913804,BA,Ipecaetá,nacional,2026-09-03,,,
2913903,BA,Ipiaú,nacional,2026-09-03,,,
2914000,BA,Ipirá,nacional,2026-09-03,,,
2914109,BA,Ipupiara,nacional,2026-09-03,,,
2914208,BA,Irajuba,nacional,2026-09-03,,,
2914307,BA,Iramaia,nacional,2026-09-03,,,
2914406,BA,Iraquara,nacional,2026-09-03,,,
2914505,BA,Irará,nacional,2026-09-03,,,
2914604,BA,Irecê,nacional,2026-09-03,,,
2914653,BA,Itabela,nacional,2026-09-03,,,
2914703,BA,Itaberaba,nacional,2026-09-03,,,
2914802,BA,Itabuna,nacional,2026-09-03,,,
2914901,BA,Itacaré,nacional,2026-09-03,,,
