ibge,uf,regiao,municipio,populacao,porte,marcadores,controle,nivel_verificacao,instrumento_localizado,natureza,decreto_reconhecido
4123303,PR,Sul,Santa Cruz de Monte Castelo,8613,pequeno_I,,True,nacional,,,
4125506,PR,Sul,São José dos Pinhais,329222,grande,geo_hidrologico,False,nacional,plano_elaboracao,ex_ante,
3300233,RJ,Sudeste,Armação dos Búzios,40006,pequeno_II,,True,nacional,,,
3300407,RJ,Sudeste,Barra Mansa,169899,grande,geo_hidrologico,False,nacional,,,
3301207,RJ,Sudeste,Carmo,17198,pequeno_I,,True,nacional,,,
3302858,RJ,Sudeste,Mesquita,167128,grande,geo_hidrologico,False,nacional,,,
3303609,RJ,Sudeste,Paracambi,41375,pequeno_II,geo_hidrologico,False,nacional,,,
3304144,RJ,Sudeste,Queimados,140523,grande,geo_hidrologico,False,nacional,,,
3304755,RJ,Sudeste,São Francisco de Itabapoana,45059,pequeno_II,geo_hidrologico,False,nacional,,,
3304904,RJ,Sudeste,São Gonçalo,896744,grande,geo_hidrologico,False,nacional,plano,ex_ante,
3305133,RJ,Sudeste,São José de Ubá,7070,pequeno_I,,True,nacional,,,
3305901,RJ,Sudeste,Trajano de Moraes,10302,pequeno_I,geo_hidrologico,False,nacional,,,
3306107,RJ,Sudeste,Valença,67753,medio,geo_hidrologico,False,nacional,,,
3306206,RJ,Sudeste,Vassouras,33976,pequeno_II,,True,nacional,,,
2400604,RN,Nordeste,Almino Afonso,4687,pequeno_I,,True,nacional,,,
2402600,RN,Nordeste,Ceará-Mirim,79115,medio,geo_hidrologico,False,nacional,,,
2403905,RN,Nordeste,Francisco Dantas,2700,pequeno_I,,True,nacional,,,
2404853,RN,Nordeste,Itajá,7292,pequeno_I,,True,nacional,,,
2405702,RN,Nordeste,Jardim do Seridó,11655,pequeno_I,,True,nacional,,,
2405801,RN,Nordeste,João Câmara,33290,pequeno_II,geo_hidrologico,False,nacional,,,
2406007,RN,Nordeste,José da Penha,5803,pequeno_I,,True,nacional,,,
2407500,RN,Nordeste,Maxaranguape,10255,pequeno_I,,True,nacional,,,True
2408003,RN,Nordeste,Mossoró,264577,grande,geo_hidrologico,False,nacional,nao_verificado,,
2412708,RN,Nordeste,São Pedro,5776,pequeno_I,,True,nacional,,,
2414753,RN,Nordeste,Venha-Ver,3014,pequeno_I,geo_hidrologico,False,nacional,,,
2414902,RN,Nordeste,Viçosa,1822,pequeno_I,,True,nacional,,,
1100015,RO,Norte,Alta Floresta D'Oeste,21495,pequeno_II,,True,nacional,,,
1100122,RO,Norte,Ji-Paraná,124333,grande,geo_hidrologico,False,nacional,,,
1100148,RO,Norte,Nova Brasilândia D'Oeste,15679,pequeno_I,,True,nacional,,,
1100288,RO,Norte,Rolim de Moura,56406,medio,geo_hidrologico,False,nacional,,,
1100296,RO,Norte,Santa Luzia D'Oeste,7419,pequeno_I,,True,nacional,,,
1100403,RO,Norte,Alto Paraíso,16320,pequeno_I,,True,nacional,,,
1100601,RO,Norte,Cacaulândia,4150,pequeno_I,,True,nacional,,,
1100809,RO,Norte,Candeias do Jamari,22238,pequeno_II,geo_hidrologico,False,nacional,,,
1100924,RO,Norte,Chupinguaia,9324,pequeno_I,,True,nacional,,,
1101435,RO,Norte,Nova União,6200,pequeno_I,,True,nacional,,,
1101450,RO,Norte,Parecis,4125,pequeno_I,,True,nacional,,,
1101807,RO,Norte,Vale do Paraíso,6479,pequeno_I,,True,nacional,,,
1400027,RR,Norte,Amajari,13927,pequeno_I,geo_hidrologico,False,nacional,decreto,resposta,
1400050,RR,Norte,Alto Alegre,21066,pequeno_II,,True,nacional,decreto,resposta,
1400159,RR,Norte,Bonfim,13897,pequeno_I,,True,nacional,plano_elaboracao,ex_ante,
1400175,RR,Norte,Cantá,18682,pequeno_I,,True,nacional,,,
1400209,RR,Norte,Caracaraí,20957,pequeno_II,geo_hidrologico,False,nacional,,,
1400233,RR,Norte,Caroebe,10656,pequeno_I,,True,nacional,,,
1400282,RR,Norte,Iracema,10023,pequeno_I,,True,nacional,decreto,resposta,
1400407,RR,Norte,Normandia,13669,pequeno_I,,True,nacional,decreto,resposta,
1400472,RR,Norte,Rorainópolis,32647,pequeno_II,,True,nacional,decreto,resposta,
1400506,RR,Norte,São João da Baliza,8858,pequeno_I,,True,nacional,,,
1400605,RR,Norte,São Luiz,7315,pequeno_I,,True,nacional,decreto,resposta,
1400704,RR,Norte,Uiramutã,13751,pequeno_I,geo_hidrologico,False,nacional,decreto,resposta,
4302006,RS,Sul,Barros Cassal,9296,pequeno_I,geo_hidrologico,False,nacional,,,
4303509,RS,Sul,Camaquã,62200,medio,geo_hidrologico,False,nacional,,,
4304697,RS,Sul,Capitão,2917,pequeno_I,,True,nacional,,,
4307302,RS,Sul,Erval Seco,6787,pequeno_I,geo_hidrologico,False,nacional,,,
4311254,RS,Sul,Lagoão,5341,pequeno_I,,True,nacional,,,
4313375,RS,Sul,Nova Santa Rita,29024,pequeno_II,geo_hidrologico,False,nacional,,,
4315008,RS,Sul,Porto Lucena,4360,pequeno_I,geo_hidrologico,False,nacional,,,True
4320909,RS,Sul,Tapejara,24557,pequeno_II,,True,nacional,,,
4321832,RS,Sul,Três Forquilhas,2760,pequeno_I,geo_hidrologico,False,nacional,,,
4322558,RS,Sul,Vanini,2004,pequeno_I,,True,nacional,,,
4323002,RS,Sul,Viamão,224116,grande,geo_hidrologico,False,nacional,,,
4323705,RS,Sul,Vista Gaúcha,2783,pequeno_I,,True,nacional,,,
4201109,SC,Sul,Anitápolis,3593,pequeno_I,geo_hidrologico,False,nacional,,,
4202909,SC,Sul,Brusque,141385,grande,geo_hidrologico,False,nacional,plano,ex_ante,
4203402,SC,Sul,Campo Belo do Sul,7257,pequeno_I,,True,nacional,,,
4204806,SC,Sul,Curitibanos,40045,pequeno_II,geo_hidrologico,False,nacional,,,
4205555,SC,Sul,Frei Rogério,2411,pequeno_I,,True,nacional,,,
4205605,SC,Sul,Galvão,3219,pequeno_I,,True,nacional,,,
4207684,SC,Sul,Ipuaçu,7501,pequeno_I,,True,nacional,,,
4208104,SC,Sul,Itaiópolis,22051,pequeno_II,geo_hidrologico,False,nacional,,,
4208708,SC,Sul,Jacinto Machado,10624,pequeno_I,geo_hidrologico,False,nacional,,,
4213401,SC,Sul,Ponte Serrada,10649,pequeno_I,geo_hidrologico,False,nacional,,,
4213906,SC,Sul,Presidente Castello Branco,1689,pequeno_I,,True,nacional,,,
4218004,SC,Sul,Tijucas,51592,medio,geo_hidrologico,False,nacional,,,
2802403,SE,Nordeste,Gararu,11096,pequeno_I,,True,nacional,,,
2803500,SE,Nordeste,Lagarto,101579,grande,,True,nacional,plano,ex_ante,
2803906,SE,Nordeste,Malhador,11533,pequeno_I,,True,nacional,,,
2804003,SE,Nordeste,Maruim,15719,pequeno_I,geo_hidrologico,False,nacional,plano,ex_ante,
2804102,SE,Nordeste,Moita Bonita,11050,pequeno_I,,True,nacional,,,
2804201,SE,Nordeste,Monte Alegre de Sergipe,14336,pequeno_I,geo_hidrologico,False,nacional,decreto,resposta,
2804607,SE,Nordeste,Nossa Senhora das Dores,24996,pequeno_II,,True,nacional,,,
2805000,SE,Nordeste,Pedra Mole,2778,pequeno_I,,True,nacional,,,
2805604,SE,Nordeste,Porto da Folha,26576,pequeno_II,,True,nacional,decreto,resposta,
2805703,SE,Nordeste,Propriá,26618,pequeno_II,,True,nacional,,,
2806107,SE,Nordeste,Rosário do Catete,9295,pequeno_I,,True,nacional,,,
2806701,SE,Nordeste,São Cristóvão,95612,medio,geo_hidrologico,False,nacional,plano_antigo,ex_ante,
3502507,SP,Sudeste,Aparecida,32569,pequeno_II,geo_hidrologico,False,nacional,,,
3504008,SP,Sudeste,Assis,101409,grande,geo_hidrologico,False,nacional,,,
3509502,SP,Sudeste,Campinas,1138309,metropole,geo_hidrologico,False,nacional,nao_verificado,,
3510708,SP,Sudeste,Cardoso,11345,pequeno_I,,True,nacional,,,
3510906,SP,Sudeste,Cássia dos Coqueiros,2799,pequeno_I,,True,nacional,,,
3511508,SP,Sudeste,Cerquilho,44695,pequeno_II,,True,nacional,,,
3518008,SP,Sudeste,Guarani d'Oeste,1968,pequeno_I,,True,nacional,,,
3522653,SP,Sudeste,Itapirapuã Paulista,4306,pequeno_I,geo_hidrologico,False,nacional,,,
3543600,SP,Sudeste,Rifaina,4049,pequeno_I,,True,nacional,,,
3545100,SP,Sudeste,Salmourão,4808,pequeno_I,,True,nacional,,,
3547908,SP,Sudeste,Santo Antônio da Alegria,6775,pequeno_I,,True,nacional,,,
3557105,SP,Sudeste,Votuporanga,96634,medio,,True,nacional,,,
